head	relation	tail
DB00357	targets	P05108
DB02721	targets	P00325
DB00773	targets	P23219
DB07138	targets	Q16539
DB08136	targets	P24941
DB01242	targets	P23975
DB01238	targets	P08173
DB00186	targets	P48169
DB00338	targets	P10635
DB01151	targets	P08913
DB01244	targets	P05023
DB01745	targets	P07477
DB01996	targets	P08254
DB04800	targets	P18031
DB08352	targets	Q16539
DB00133	targets	P21549
DB00163	targets	P21266
DB00197	targets	P10632
DB06777	targets	P08684
DB01151	targets	P10635
DB00356	targets	P08684
DB01589	targets	P34903
DB01272	targets	P20645
DB08846	targets	Q14534
DB01151	targets	P33261
DB01076	targets	P04035
DB00605	targets	Q03181
DB08515	targets	P49721
DB02401	targets	P07195
DB01057	targets	P06276
DB03286	targets	P11217
DB08814	targets	Q9Y233
DB00945	targets	P23219
DB01809	targets	P07949
DB01352	targets	Q16445
DB00185	targets	P10635
DB01708	targets	Q14957
DB04058	targets	P15085
DB00570	targets	Q9UJT1
DB02805	targets	P07998
DB01355	targets	P43681
DB00834	targets	P24462
DB00734	targets	P08913
DB01708	targets	Q9UN88
DB03981	targets	Q9Y663
DB07124	targets	P17612
DB08137	targets	P24941
DB00143	targets	P10768
DB00102	targets	P16234
DB00188	targets	P28070
DB00533	targets	P23219
DB01520	targets	Q13224
DB08355	targets	P24941
DB01252	targets	P37231
DB01215	targets	P18507
DB01221	targets	P41145
DB00922	targets	Q14432
DB00586	targets	P04798
DB00243	targets	P08684
DB00054	targets	P12318
DB00051	targets	P31994
DB05238	targets	P15056
DB04335	targets	P00491
DB05030	targets	P35968
DB00231	targets	P18507
DB00162	targets	P00352
DB00988	targets	P33261
DB00373	targets	P08588
DB01223	targets	P05177
DB00255	targets	P11712
DB01247	targets	P21397
DB00564	targets	P10632
DB04551	targets	P30613
DB02056	targets	P42330
DB08424	targets	Q16539
DB05387	targets	P08253
DB03865	targets	P05981
DB04405	targets	P39900
DB04322	targets	P11586
DB01357	targets	P03372
DB01698	targets	P10632
DB07616	targets	O60760
DB01011	targets	P11509
DB00005	targets	P08637
DB01074	targets	P10635
DB00475	targets	P48169
DB00939	targets	O43526
DB00518	targets	P04798
DB01587	targets	O14764
DB00201	targets	Q07343
DB04444	targets	P30085
DB03501	targets	P15291
DB09068	targets	P20815
DB03103	targets	P15531
DB00753	targets	P62158
DB01381	targets	P14867
DB01820	targets	P18031
DB03461	targets	Q16698
DB00836	targets	P62158
DB08914	targets	P06213
DB00116	targets	P13995
DB00139	targets	Q8WWT9
DB00114	targets	Q6P996
DB00139	targets	O14521
DB01167	targets	P20815
DB07034	targets	O14757
DB04389	targets	P49789
DB00328	targets	Q9Y5Y4
DB00201	targets	Q08493
DB00515	targets	P02795
DB05079	targets	P35367
DB08095	targets	Q16539
DB00993	targets	P00492
DB05157	targets	Q15759
DB02250	targets	P61626
DB05260	targets	P31350
DB00820	targets	P08684
DB05280	targets	P35462
DB03152	targets	P08100
DB07428	targets	P68871
DB00477	targets	P17405
DB00721	targets	Q15822
DB01156	targets	P11712
DB05390	targets	P41231
